amplicon_1	ul_of_each_primer_1	pcr_conc_nM_1	amplicon_2	ul_of_each_primer_2	pcr_conc_nM_2
1	2.12	9.65	2	2.84	13.4
3	2.38	10.8	4	2.17	10.3
5	2.44	11.1	6	2.66	12.6
7	2.21	10.1	8	3.05	14.4
9	3.3	15	10	2.16	10.2
11	2.44	11.1	12	2.8	13.2
13	3.15	14.3	14	7.67	36.2
15	6.38	29	16	5.63	26.5
17	2.39	10.9	18	2.7	12.8
19	2.6	11.8	20	2.98	14.1
21	3.79	17.3	22	2.97	14
23	3.77	17.2	24	3.88	18.3
25	2.83	12.9	26	10.1	47.8
27	5.43	24.7	28	2.34	11.1
29	2.33	10.6	30	2.21	10.4
31	3.73	17	32	3.81	18
33	2	9.1	34	4.82	22.7
35	3.28	14.9	36	3.06	14.4
37	2.02	9.18	38	2.17	10.3
39	3.23	14.7	40	4.06	19.1
41	2.05	9.32	42	2.39	11.3
43	3.94	17.9	44	2.22	10.5
45	2.81	12.8	46	2.31	10.9
47	2.17	9.86	48	2.85	13.5
49	2.53	11.5	50	2.58	12.2
51	2.39	10.9	52	4.35	20.5
53	2.25	10.2	54	2.3	10.9
55	2.13	9.7	56	2.27	10.7
57	2.31	10.5	58	2	9.44
59	2.62	11.9	60	2.14	10.1
61	4.42	20.1	62	5.64	26.6
63	2.23	10.1	64	2.93	13.8
65	6.19	28.2	66	2.32	10.9
67	2.9	13.2	68	3.07	14.5
69	3.57	16.2	70	2.52	11.9
71	3.81	17.3	72	2.9	13.7
73	3.44	15.7	74	2.16	10.2
75	2.18	9.93	76	2.83	13.4
77	2.53	11.5	78	3.3	15.6
79	2.63	12	80	2.16	10.2
81	3.32	15.1	82	2.75	13
83	4.98	22.7	84	2.49	11.8
85	2.73	12.4	86	2.27	10.7
87	11.1	50.6	88	3.5	16.5
89	5.23	23.8	90	3.27	15.4
91	4.83	22	92	3.24	15.3
93	2.84	12.9	94	2.78	13.1
95	2.25	10.2	96	2.94	13.9
